                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4343,                 2.8527,                 1.9431,                0.00542,                0.88636,                0.16059,                 0.0882,                 1.0379,                 2.9571,                 1.4396,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.2428,                 2.6635,                 1.4935,                0.00569,                0.93182,                0.30025,                0.19512,                 1.0106,                  2.887,                 1.3977,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.0192,                 2.4802,                 1.2853,                0.00583,                0.95455,                0.33712,                0.23515,                 1.0366,                 2.8781,                 1.3954,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.0722,                 2.1605,                 1.4793,                0.00597,                0.97727,                 0.4588,                0.28834,                 1.1313,                 2.7818,                 1.4401,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.4587,                 2.7176,                 1.8659,                0.71564,                0.22727,                0.42353,                0.25367,                   1.16,                 2.5946,                 1.4678,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.4188,                 2.4974,                  1.444,                0.57452,                0.18428,                0.35415,                0.22757,                 1.1147,                 2.5548,                 1.4217,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.2883,                 2.4062,                 1.3989,                0.58573,                0.15909,                0.38092,                0.23916,                 1.1467,                 2.5608,                 1.4408,             0.00037624,             0.00037624,             0.00037624
                      8,                 1.2101,                 1.6682,                  1.398,                0.67989,                0.22727,                 0.4292,                0.26642,                 1.1583,                 2.5464,                 1.4551,             0.00042812,             0.00042812,             0.00042812
                      9,                 1.0806,                  1.386,                 1.2732,                0.62997,                0.38696,                0.43801,                0.27971,                 1.1841,                 2.4994,                 1.4709,             0.00047882,             0.00047882,             0.00047882
                     10,                0.97897,                 1.4573,                 1.1908,                0.54871,                0.44229,                0.42584,                0.27702,                 1.2301,                 2.4362,                 1.4974,             0.00052832,             0.00052832,             0.00052832
