                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4608,                  3.181,                 1.5958,                0.01463,                0.64754,                0.04179,                0.01469,                 1.2726,                 3.1992,                 1.4051,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.4494,                 3.0646,                 1.6017,                0.01778,                0.78689,                 0.0773,                0.02687,                 1.2485,                 3.1603,                 1.3661,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.2893,                 3.0085,                 1.4598,                0.01981,                0.87705,                0.09706,                0.03974,                 1.2194,                  3.099,                 1.3161,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.3682,                 2.4904,                 1.4578,                0.02019,                0.89344,                0.12169,                0.04611,                 1.2683,                 3.0167,                 1.2992,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.4714,                 2.2197,                 1.4937,                0.02019,                0.89344,                0.10875,                0.04615,                 1.2943,                 2.9443,                 1.3358,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.4094,                 2.3133,                 1.4731,                0.02083,                0.92213,                0.10781,                0.04253,                 1.2975,                 2.9127,                 1.3482,             0.00032317,             0.00032317,             0.00032317
                      7,                  1.256,                 1.8839,                 1.3883,                0.02028,                0.89754,                0.09601,                0.03849,                 1.2806,                 2.9629,                 1.3577,             0.00037624,             0.00037624,             0.00037624
                      8,                 1.5358,                 2.8074,                 1.5454,                0.02056,                0.90984,                0.09628,                0.03897,                 1.2854,                 2.9939,                 1.3802,             0.00042812,             0.00042812,             0.00042812
                      9,                 1.2718,                  1.819,                 1.2643,                0.01944,                0.86066,                0.10648,                0.03987,                 1.2915,                  3.129,                 1.4588,             0.00047882,             0.00047882,             0.00047882
                     10,                 1.3551,                 1.8347,                 1.3985,                0.01806,                0.79918,                0.10375,                0.03999,                 1.3463,                 3.2059,                 1.5446,             0.00052832,             0.00052832,             0.00052832
                     11,                 1.1637,                 1.5927,                 1.2226,                0.01935,                0.85656,                0.16055,                0.06444,                 1.3636,                 3.1267,                 1.5635,             0.00057664,             0.00057664,             0.00057664
                     12,                 1.2339,                 1.6557,                 1.2529,                0.02488,                0.54918,                0.18484,                0.07839,                 1.3923,                 3.1082,                 1.5781,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.2473,                 1.7148,                 1.2933,                0.14459,                0.13115,                0.08963,                0.03179,                 1.5009,                 3.3475,                 1.7414,             0.00066971,             0.00066971,             0.00066971
